peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M70T672_NEG,70.14131321918515,70.14127240567318,70.14134170254572,672.2635,672.094,672.435,4,4,234048.8191526229,215200.1757832003,245958.9190043948,236599.11187857785
M70T468_NEG,70.3633248183115,70.3633066303457,70.3633554785127,468.29,468.22,468.464,3,3,46722.96037500028,43552.548203906365,NA,42741.685992089755
M71T451_NEG,71.01230810734901,71.01228665004292,71.01232619247257,450.8165,450.699,450.995,4,4,4196732.530439731,4144781.7842983063,4235154.421388383,4509885.280886548
M71T100_NEG,71.01225965177716,71.01224268650897,71.01227265096242,100.305,100.272,100.984,4,4,60731043.02390854,59343002.01298076,59911272.698682554,55592596.257573955
M71T76_NEG,71.01226319572197,71.01223951959349,71.01228978292404,75.74185,75.7126,76.4904,4,4,11855770.350202573,11636731.922888707,11614935.956469454,13094863.21112038
M71T428_NEG,71.12946987215417,71.1294534104932,71.12947157054406,428.3505,428.219,428.497,4,4,736051.1338037058,766189.4136222659,776706.0514683614,790274.7894506826
M71T218_NEG,71.26560415324096,71.26558660840877,71.26562712189704,218.204,217.331,219.051,4,4,372659.5580563966,395738.6303024908,379899.888064535,411332.2613448149
M72T428_NEG,71.68413942798824,71.68412757963928,71.68414720769697,428.4065,428.219,429.203,4,4,589669.6400381807,626635.0343398465,596108.8017003346,624267.9516847673
M72T525_NEG,71.69677006072405,71.69673608517233,71.6967888883195,525.2505,524.682,525.864,4,4,117807.46673674676,111890.84705449223,154279.56183463603,125021.99598361585
M72T510_NEG,71.9207122603341,71.92068518153486,71.92072244168784,509.85,509.701,510.045,4,4,117541.46109843768,127489.53479609279,130228.0264687496,119812.97106953157
M72T100_NEG,72.01560832255214,72.01557595705013,72.01562543626062,100.2835,100.144,100.315,4,4,2119699.3371024486,1773633.6174696947,1770815.7878967496,1782944.2351997402
M72T65_NEG,72.00756839532555,72.0075637774842,72.0075730131669,65.3441,65.3079,65.3803,2,2,392316.987810351,NA,NA,320489.53543906234
M72T433_NEG,72.13237435160616,72.13235980177751,72.13242868866412,433.386,433.308,433.497,3,3,116483.0797664387,110663.1073417958,NA,136848.2244924312
M73T751_NEG,72.79929124487651,72.79927081503179,72.79931201491065,750.6524999999999,750.46,750.897,4,4,192889.7673007799,202924.19365624848,204679.06367708018,212100.0761425787
M73T1010_NEG,72.99155319730662,72.99152845575837,72.99158383594582,1009.77,1000.61,1016.41,4,4,30017076.43153966,43986001.54262505,37066058.92382703,42265358.779575795
M73T103_NEG,72.9915575856196,72.99154249274213,72.9915688775949,102.727,96.2157,103.544,3,3,NA,30642253.29969904,20571088.651707318,35612293.79041226
M73T295_NEG,72.99157210197328,72.99156671516884,72.99157748877771,295.4185,292.174,298.663,2,2,20519559.784915652,7127780.458009611,NA,NA
M73T1060_NEG,72.99153209689034,72.99152218589097,72.9915420078897,1059.505,1055.88,1063.13,2,2,NA,NA,11467803.634046054,10850246.98268376
M73T182_NEG,72.99157737176503,72.99156274433601,72.99159199919404,182.257,177.721,186.793,2,2,9714108.611074211,15830823.778622694,NA,NA
M73T559_1_NEG,73.25412319444393,73.25409613541404,73.25414130038259,558.9559999999999,558.802,559.145,4,4,249861.27271158996,300986.1948487039,284550.75498795736,282390.3549772151
M73T758_NEG,73.30318062306446,73.3031416214549,73.3032203076621,758.115,757.949,758.411,4,4,187682.63389778315,206955.25886718708,223519.3758090788,234425.62231771008
M73T559_2_NEG,73.36557535030384,73.36556830091713,73.36557839356007,558.934,558.802,559.145,3,3,79950.18718457076,NA,93901.75485234347,94296.96444645236
M74T65_NEG,74.0231885201296,74.02315741656514,74.02323906906805,65.3734,65.3462,65.3803,3,3,NA,644617.4097949219,548512.7506640614,591867.3324761725
M74T528_1_NEG,74.14408702682195,74.14405310035863,74.14411671618575,528.2785,528.025,528.982,4,4,331899.53354619024,359860.2320290166,355820.3586863871,387077.2523848626
M74T528_2_NEG,74.25554861815384,74.25554038372267,74.255556852585,528.2785,528.195,528.362,2,2,71568.56815468713,96651.27119156929,NA,NA
M75T614_NEG,74.81145526184842,74.81145057938284,74.81149811824352,613.8285,613.272,613.917,4,4,109659.47994531317,115793.60442350415,122198.6638593738,131744.8150312514
M75T435_NEG,75.23904695351743,75.23898502703274,75.23907039164709,435.04,434.149,439.228,4,4,885035.2659044099,517426.4448568623,868370.0180145275,946356.3321103061
M75T439_NEG,75.35043699509797,75.35042309379217,75.35045089640374,438.866,438.393,439.339,2,2,145481.55189278742,108415.54687906877,NA,NA
M75T450_NEG,75.46295979043677,75.46293356062233,75.46299204561785,449.9815,449.864,450.158,4,4,1496862.2293625071,1267789.1452828154,1672265.317031889,1333970.8570976544
M76T450_NEG,75.5743984022446,75.57439478893515,75.57440201555404,449.95,449.864,450.036,2,2,NA,356158.09150312585,514511.4937971968,NA
M76T715_NEG,75.92708668760018,75.92705969268056,75.92709472659263,714.974,714.685,715.825,3,3,120389.5010214828,129854.73285468714,134464.51634375102,NA
M77T676_NEG,76.59499081600228,76.59496655202314,76.59500589632937,675.585,675.443,675.633,3,3,NA,103168.21160429787,123403.84208788902,113117.62018691438
M77T353_NEG,76.77148047529543,76.77145903652527,76.7715138391351,353.01,352.578,353.628,4,4,294561.38806587463,291135.0904307626,279832.7690009766,311634.921719638
M77T663_NEG,76.8189399888949,76.81892777619058,76.81895220159922,662.969,662.891,663.047,2,2,NA,NA,92596.80996562463,92035.156827344
M78T450_NEG,77.90552463720485,77.90549481714834,77.9055474330774,450.036,449.864,450.158,3,3,529487.4757148466,436842.6677820323,598803.6763515582,NA
M79T684_1_NEG,78.59619480429907,78.5961738119254,78.59620041710997,684.06,683.789,684.749,4,4,574683.0727226569,505071.38115487935,485509.8395853272,576532.621532713
M79T684_2_NEG,78.70769122184835,78.70766514153338,78.70771521108408,683.994,683.916,684.126,3,3,176577.41321809829,151117.6721964845,NA,158003.97942870928
