variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M70T672_NEG,70.14131321918515,672.2635,234048.8191526229,215200.1757832003,245958.9190043948,236599.11187857785
M70T468_NEG,70.3633248183115,468.29,46722.96037500028,43552.548203906365,NA,42741.685992089755
M71T451_NEG,71.01230810734901,450.8165,4196732.530439731,4144781.7842983063,4235154.421388383,4509885.280886548
M71T100_NEG,71.01225965177716,100.305,60731043.02390854,59343002.01298076,59911272.698682554,55592596.257573955
M71T76_NEG,71.01226319572197,75.74185,11855770.350202573,11636731.922888707,11614935.956469454,13094863.21112038
M71T428_NEG,71.12946987215417,428.3505,736051.1338037058,766189.4136222659,776706.0514683614,790274.7894506826
M71T218_NEG,71.26560415324096,218.204,372659.5580563966,395738.6303024908,379899.888064535,411332.2613448149
M72T428_NEG,71.68413942798824,428.4065,589669.6400381807,626635.0343398465,596108.8017003346,624267.9516847673
M72T525_NEG,71.69677006072405,525.2505,117807.46673674676,111890.84705449223,154279.56183463603,125021.99598361585
M72T510_NEG,71.9207122603341,509.85,117541.46109843768,127489.53479609279,130228.0264687496,119812.97106953157
M72T100_NEG,72.01560832255214,100.2835,2119699.3371024486,1773633.6174696947,1770815.7878967496,1782944.2351997402
M72T65_NEG,72.00756839532555,65.3441,392316.987810351,NA,NA,320489.53543906234
M72T433_NEG,72.13237435160616,433.386,116483.0797664387,110663.1073417958,NA,136848.2244924312
M73T751_NEG,72.79929124487651,750.6524999999999,192889.7673007799,202924.19365624848,204679.06367708018,212100.0761425787
M73T1010_NEG,72.99155319730662,1009.77,30017076.43153966,43986001.54262505,37066058.92382703,42265358.779575795
M73T103_NEG,72.9915575856196,102.727,NA,30642253.29969904,20571088.651707318,35612293.79041226
M73T295_NEG,72.99157210197328,295.4185,20519559.784915652,7127780.458009611,NA,NA
M73T1060_NEG,72.99153209689034,1059.505,NA,NA,11467803.634046054,10850246.98268376
M73T182_NEG,72.99157737176503,182.257,9714108.611074211,15830823.778622694,NA,NA
M73T559_1_NEG,73.25412319444393,558.9559999999999,249861.27271158996,300986.1948487039,284550.75498795736,282390.3549772151
M73T758_NEG,73.30318062306446,758.115,187682.63389778315,206955.25886718708,223519.3758090788,234425.62231771008
M73T559_2_NEG,73.36557535030384,558.934,79950.18718457076,NA,93901.75485234347,94296.96444645236
M74T65_NEG,74.0231885201296,65.3734,NA,644617.4097949219,548512.7506640614,591867.3324761725
M74T528_1_NEG,74.14408702682195,528.2785,331899.53354619024,359860.2320290166,355820.3586863871,387077.2523848626
M74T528_2_NEG,74.25554861815384,528.2785,71568.56815468713,96651.27119156929,NA,NA
M75T614_NEG,74.81145526184842,613.8285,109659.47994531317,115793.60442350415,122198.6638593738,131744.8150312514
M75T435_NEG,75.23904695351743,435.04,885035.2659044099,517426.4448568623,868370.0180145275,946356.3321103061
M75T439_NEG,75.35043699509797,438.866,145481.55189278742,108415.54687906877,NA,NA
M75T450_NEG,75.46295979043677,449.9815,1496862.2293625071,1267789.1452828154,1672265.317031889,1333970.8570976544
M76T450_NEG,75.5743984022446,449.95,NA,356158.09150312585,514511.4937971968,NA
M76T715_NEG,75.92708668760018,714.974,120389.5010214828,129854.73285468714,134464.51634375102,NA
M77T676_NEG,76.59499081600228,675.585,NA,103168.21160429787,123403.84208788902,113117.62018691438
M77T353_NEG,76.77148047529543,353.01,294561.38806587463,291135.0904307626,279832.7690009766,311634.921719638
M77T663_NEG,76.8189399888949,662.969,NA,NA,92596.80996562463,92035.156827344
M78T450_NEG,77.90552463720485,450.036,529487.4757148466,436842.6677820323,598803.6763515582,NA
M79T684_1_NEG,78.59619480429907,684.06,574683.0727226569,505071.38115487935,485509.8395853272,576532.621532713
M79T684_2_NEG,78.70769122184835,683.994,176577.41321809829,151117.6721964845,NA,158003.97942870928
M79T427_NEG,78.79759146272573,427.488,2063794.5140156252,NA,2147429.0462171733,2505282.5515136733
M79T414_NEG,78.797586278148,414.1315,NA,2497941.188414977,2005276.2848414995,NA
M79T946_NEG,78.91733276944471,945.965,305716.3313396154,1740405.7024302417,878071.3191934737,830769.0176614581
M79T65_NEG,78.95746053876272,65.3598,55543239.89947417,15387697.48037371,57083728.3703096,22816694.10010303
M79T82_NEG,78.95743412773746,82.23595,NA,35199459.93748287,NA,33857474.830481745
M79T477_1_NEG,79.27673526383474,477.322,380323.4002096362,388320.57210546714,353963.57275781385,358717.0241796885
M79T477_2_NEG,79.3882060914526,477.379,113709.72912539066,132010.00359960913,NA,125953.25622119143
M79T477_3_NEG,79.49856398817087,477.08299999999997,95498.48736796783,NA,NA,99865.18783203153
M80T254_NEG,79.95349943078703,253.746,1720104.5728026063,1846174.2582070276,2704390.020210939,1990980.5483081623
M80T398_NEG,79.9535567051704,398.207,832536.9811275547,463606.57117274107,790701.0693465894,NA
M80T520_NEG,79.95361276594733,519.9079999999999,65422.08155742279,NA,NA,65928.57879492122
M80T81_NEG,79.95578304716551,80.5874,9691825.290609373,10192960.347713925,11418063.640684078,12197694.410399538
M80T353_NEG,79.95479346705973,352.578,NA,198172.87759309838,193551.59200546966,185760.3446484367
M80T157_NEG,79.95578365644218,157.13299999999998,NA,1806127.4397075404,NA,1263092.1376874992
M80T477_NEG,80.390993820066,477.41150000000005,2568352.8067093156,2600119.7107791156,2315106.4355585943,2750608.1904223547
M81T477_1_NEG,80.50250914645247,477.41150000000005,894697.0208014334,898055.9383078304,834927.8893945344,919514.7101020552
M81T477_2_NEG,80.61395306629367,477.08299999999997,141943.9825119141,166378.25513671845,133501.60386562458,151176.73532226603
M81T181_NEG,80.78402635287827,180.63850000000002,93922.75084444718,91915.71186230474,90409.42615657601,86054.82433333331
M81T946_NEG,80.91528852367802,946.371,534075.4275273469,2139139.523993608,1584458.328357081,1328757.9963148201
M81T414_NEG,81.24017679159542,413.755,158693.54095546715,278956.75892871106,206335.52111848918,204583.41796875
M82T629_1_NEG,81.70681956390473,629.328,1732099.0053090018,1650746.6107154947,1776037.5646844849,1620571.6619197242
M82T616_NEG,81.80469785241867,616.009,88264.60810908172,111006.82010214924,112901.42092668264,97804.71527604193
M82T629_2_NEG,81.81832510147098,628.9985,598410.6145951232,543591.927920416,615915.8262176445,478242.37172813225
M82T663_NEG,81.93084955260565,663.0585000000001,878500.035302091,866860.3065375036,719467.9846249891,716155.0063796896
M82T976_NEG,82.02825077229697,976.3605,NA,3034881.4061249937,3678910.1970745884,NA
M82T81_NEG,82.02821041493075,81.4294,NA,NA,607404.294307332,391634.1927662328
M82T352_1_NEG,82.13626281468916,351.883,1490364.2209461841,1684912.6816867976,1370586.9758886779,1506892.4405455708
M82T352_2_NEG,82.24778523794095,352.267,470978.2515602692,570371.2483789084,441255.95720195275,509552.84069067426
M82T477_1_NEG,82.27890920230041,477.41150000000005,1187994.9038240688,1122793.8146433546,1099670.7654221791,1162103.9075458115
M82T477_2_NEG,82.39034738542938,477.379,410882.0165407991,NA,350146.77646469715,374522.4406464837
M83T73_NEG,82.95250909738354,72.57339999999999,11424709.716304684,10034822.016561605,9969389.052732691,10330787.289098743
M83T741_NEG,83.48992444097914,740.642,327673.76558222517,NA,238966.4598046884,316697.24494140514
M83T564_NEG,83.4841536174878,564.2685,NA,NA,68228.33147461033,71980.04334404267
M84T740_NEG,83.60134819347134,740.015,81818.11482539123,66391.44930312362,69294.58066679706,NA
M84T629_NEG,83.59476201562359,628.8195000000001,NA,NA,94059.07243046901,85430.68151660333
M84T684_1_NEG,83.70814038950563,684.3675000000001,992081.0303123246,809930.2324811531,917592.0078659223,960979.7002285117
M84T748_NEG,83.71387142693098,748.0505,181471.13173869942,195817.46055371207,108293.9089674469,153851.33524218833
M84T684_2_NEG,83.81961367328991,683.955,323482.8321074229,251906.09341378103,248081.33000836984,304183.1102469267
M84T99_NEG,84.0075169321278,99.4819,4819206.737990626,NA,4211928.910364061,10783442.074642105
M85T451_NEG,84.76804120841679,450.8165,1028841.7963763083,1085684.377714064,1091331.4829339178,1083996.4484421012
M85T562_NEG,84.7774107217121,562.3625,66636.3959142586,72730.14390273395,74960.65068437536,64838.500820897716
M85T72_NEG,84.94957228704703,71.7249,2492538.5425484376,1934689.625320002,2193641.526906257,2202997.1797912493
M85T1075_NEG,85.00282182939935,1074.835,NA,NA,4290000.406562524,4747133.33414067
M85T98_NEG,85.02795084008966,97.85765,10337537.451961461,10425720.956879137,9863865.536769679,9093520.41412068
M85T77_NEG,85.02794961725607,76.5354,NA,12179504.192356527,11769833.723790629,13507908.744023701
M85T727_NEG,85.49101351435448,727.288,106095.0216914058,NA,179691.6863636877,84243.7636284169
M85T630_NEG,85.48530566135858,630.229,48988.538009765296,56647.39292050803,NA,NA
M86T932_NEG,86.00553501818283,931.8165,2345978.045029794,2116748.1647910257,2430561.5836767587,1977355.421024421
M86T980_NEG,86.02318035101814,980.24,3804035.0580790904,5262074.867123515,4352117.756875006,NA
M86T1073_NEG,86.02318447394386,1073.28,1729971.815132207,4723465.488898027,NA,2450380.194406273
M87T932_NEG,87.00190108484833,931.8165,10231762.913162211,7052609.161750039,11458529.575027505,11186468.549794007
M87T844_NEG,87.00190119701048,844.304,NA,935845.2129937403,937608.9887500182,NA
M87T77_NEG,87.0071563569117,77.33975000000001,40647873.22633477,41842258.96532252,39055457.12234552,42455392.53603175
M87T99_NEG,87.0071793751884,98.5873,57298806.45561752,40364762.91018159,48369921.97681956,50600353.341025
M87T62_NEG,87.00719136558465,62.158500000000004,8237931.575986453,7975647.626303125,NA,NA
M87T692_NEG,87.4924598527117,691.8789999999999,180220.72720940242,82534.96774765731,82092.5486249992,142460.4524450679
M88T964_NEG,87.92373533015092,964.019,4645654.338386029,5131694.059376348,5565159.148054394,4966482.900150819
M88T988_NEG,88.0025146715854,987.9404999999999,16425650.74365994,28697372.81174365,18325626.76943111,14152465.465312503
M88T108_NEG,88.00245736802157,108.4385,24094702.452477444,30390916.754036766,25344664.35672979,32925174.64718207
M88T67_NEG,88.03882654883316,66.93975,8444511.994087234,8344237.5283413455,8211354.395480855,8343063.7809633585
M89T98_NEG,89.02285687761608,97.85319999999999,88717792.958916,223330806.3057249,89208244.93510416,88657467.43026029
M89T170_NEG,89.02291388515786,170.302,36294749.06240283,43060220.75747617,NA,49122367.18343484
M89T984_NEG,89.02290895958974,984.385,NA,137558042.87925008,143090652.92657927,147199736.1963009
M89T607_NEG,89.02290064282735,607.071,NA,43750812.26429634,39625302.81287491,33880317.04784994
M89T375_NEG,89.02289406969916,375.105,NA,34946780.5360394,41089122.962931775,62681685.19282196
M89T905_NEG,89.02289258864516,905.188,NA,12610794.167124981,6745401.561098698,6031658.000404381
M89T729_NEG,89.02288958166248,729.165,NA,12343390.35823859,13600018.004132833,11434244.350351991
M89T514_NEG,89.02291557084001,513.982,NA,69807602.41593744,26540510.93512503,81304908.73767297
M89T584_NEG,89.02291469884251,583.765,NA,43267103.56406245,40177213.92281254,45982397.38363886
M89T148_NEG,89.02288500410891,148.055,37734463.18124999,50128448.68791663,NA,63265738.15251723
M89T452_NEG,89.02287524823356,452.347,NA,44021316.065100014,26445494.381446414,41878017.30717945
M89T347_NEG,89.02289614788033,346.752,NA,41990791.44538633,47542359.315329924,33104671.75008818
M89T425_NEG,89.0228877874,424.902,NA,49084407.01078571,36624775.244049974,30514254.30693754
M89T771_NEG,89.02290430073788,771.297,NA,12420393.438869542,10258174.877639828,20655159.31365201
M89T285_NEG,89.02290415339877,285.3495,NA,35841426.4549167,129783804.33655298,45724077.23999999
M89T550_NEG,89.02290518991973,550.223,NA,38463362.04556509,62853764.43908114,25219986.488776766
M89T793_NEG,89.02291629583883,793.3645,NA,6622246.25114059,14182430.416423108,NA
M89T863_NEG,89.02289850806237,863.26,NA,34732648.38490717,36064907.109603085,33098896.072124995
M89T395_NEG,89.02289067818548,395.028,NA,30737169.260661718,26718831.57232142,37265472.22851244
M89T214_NEG,89.02289869178607,214.06,90087121.44352086,77037711.97976871,NA,63852176.84549194
M89T747_NEG,89.02291748281944,746.9280000000001,NA,9858395.563426513,9512042.870007297,NA
M89T489_NEG,89.02292255847345,488.597,NA,39444928.2885326,49078832.55361612,NA
M89T806_NEG,89.02289923050631,806.2355,NA,6881277.957538454,NA,16556406.920211274
M89T673_NEG,89.02288914339661,673.077,NA,25720429.878812537,93844503.17500477,127602824.21484822
M89T314_NEG,89.02291490629634,313.978,NA,33397502.55114706,NA,32354467.724765547
M89T126_NEG,89.02290246584738,126.162,38581282.952083305,NA,NA,48223995.14402379
M89T1058_NEG,89.0229132656672,1057.5900000000001,NA,62356890.88363665,69076444.00555536,NA
M89T541_NEG,89.48337112057153,541.487,210291.89188476474,181442.72923466846,190931.928099216,177504.01781562043
M89T663_NEG,89.48535821495696,663.156,91159.25056191371,96744.10280742227,NA,NA
M90T440_NEG,89.70327167299268,439.9855,NA,56755.83969726604,54254.320753125576,NA
M90T938_NEG,89.92415692448509,937.636,1573308.1420610726,2576509.607263436,2253638.710593745,1896812.8807500112
M90T930_NEG,90.00825905057556,930.3720000000001,7678825.448958344,7559499.308874998,6942087.438802104,9344029.882665878
M90T98_NEG,90.02621745300351,97.76945,3060865.1923862966,6359610.562337604,5970577.723271708,2353830.243751033
M90T987_NEG,90.0262672418467,987.2405,NA,763840.3698881869,NA,2077234.0057519495
M91T938_NEG,90.93200045696821,938.296,5686144.313427952,5513941.286149979,5570792.63858703,5437218.53129883
M91T785_1_NEG,91.0527097118483,784.66,2087902.7988680499,1903666.2560000236,2289914.1311035156,1580616.6030000134
M91T785_2_NEG,91.16413753443896,784.66,982664.4009238335,851872.5543333439,1060302.067063559,856103.7349189463
M91T476_NEG,91.26069033590825,476.428,NA,137187.3698597302,132432.30760429692,83598.01155816026
M91T684_NEG,91.2624693566251,683.955,NA,76919.27315507818,NA,84410.56352109367
M91T796_NEG,91.27661714131102,795.9495,226352.17990056786,141504.24970703066,223409.2251306824,136230.24442731575
M92T938_NEG,91.91962649652703,937.636,913241.9530645793,1108393.8733344665,902115.6782571188,1000220.2204238247
M93T520_NEG,92.81806767060237,520.266,268594.36930338544,234422.0904511741,257949.49330810865,217684.50481640414
M93T65_NEG,92.9265587912241,64.54769999999999,3894759.6305624945,4036656.071588747,4128575.027979164,4096058.385967185
M93T932_NEG,93.0079436930939,931.9645,12852818.18377397,14130498.253550382,9176575.526375039,14427741.187335894
M93T219_NEG,93.03309650610694,218.619,4537771.576390622,4514088.026089682,5043047.240668526,4764831.402354379
M94T951_NEG,93.9895170305514,950.6865,834420.3452578139,969537.3030894886,958785.1374253351,1274014.3707475946
M94T931_NEG,94.0031243605109,931.001,15157027.205762925,12040472.763239607,17150542.615333393,15684077.15180673
M94T103_NEG,94.02829666579694,103.1555,4648372.702758289,4853041.467250985,4182677.862896585,4580396.147384376
M94T978_NEG,94.02838436188293,978.0995,1116402.1342060498,1953260.376386722,1226171.3058733584,1432905.4020843802
