peak.name,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,QC,QC_01,QC_02,QC_03,QC_04
M70T937_POS,70.01289997824028,70.01285921247708,70.01293399460859,936.7065,936.309,937.067,4,4,35659223.602991074,31808784.839427903,30931984.623093866,33612142.50356624
M70T62_POS,70.01302697794843,70.01300307776428,70.0130425453207,61.65585,61.3486,61.9582,4,4,715552753.709138,763233319.5183998,959791635.6840726,735280637.51853
M70T1025_POS,70.01300275821983,70.01298031239222,70.01302728733734,1024.87,1020.56,1027.52,3,3,15159595.131250018,NA,20999789.68247559,8677385.542067308
M70T1067_POS,70.01300888524528,70.01298781596306,70.01302144597383,1067.08,1065.16,1072.37,3,3,6202561.932395807,NA,6683735.79545314,5311557.863281236
M70T1050_POS,70.01302204312587,70.01300662924055,70.01302961503248,1050.36,1041.62,1052.92,3,3,6146602.855520818,16935065.961387508,NA,9184703.432133617
M70T996_POS,70.01301970213277,70.01296659328452,70.01302477343457,995.593,991.398,1005.9,3,3,12279093.146524038,7807389.515421163,NA,8447612.56831753
M70T70_POS,70.06558869483676,70.0655767892111,70.06565461511173,70.18825,70.0439,70.2425,4,4,15056329.2580125,18423166.66334065,17835693.653198957,17713062.4566375
M71T62_POS,70.51467056812369,70.51465054181111,70.51471794373882,61.65585,61.3486,61.9582,4,4,30785887.833212905,36365317.69398124,42525517.75125746,30753303.353887483
M71T922_POS,70.59876117385159,70.59875252715993,70.59876982054324,921.7675,921.666,921.869,2,2,135090.632318197,81471.08621630806,NA,NA
M71T797_1_POS,70.81135845690001,70.81134648211535,70.8114444539514,796.618,796.55,796.636,3,3,NA,1387254.4009634894,1153943.0343943841,1367212.8742773482
M71T797_2_POS,70.92284462061129,70.9228427933022,70.92288844534457,796.618,795.748,798.298,3,3,NA,270621.75339670014,277823.41991406516,391403.4024296876
M71T936_POS,70.9915270643434,70.9914724514883,70.99154111379772,936.309,936.276,936.346,3,3,1708894.7444661458,1834888.863779274,1310120.2097410627,NA
M71T834_1_POS,71.27089526119155,71.2708730229826,71.2709125486286,834.3575000000001,834.283,834.443,4,4,3824838.1295653507,4895510.011671907,4493684.795624986,4398959.207856419
M71T764_1_POS,71.27089810245995,71.27088098258527,71.27091216821833,763.917,763.246,764.122,3,3,3021767.0496844733,2605636.4355284004,3253923.7540802625,NA
M71T834_2_POS,71.3823736239174,71.38232868312215,71.38240886186964,834.3165,833.606,834.365,4,4,1383788.4698120214,1818287.0150308309,1678711.6915800693,1597555.9189023273
M71T764_2_POS,71.38241406706774,71.38233432126088,71.38244217091578,763.5815,763.155,764.122,4,4,1068384.6064187572,886773.8687937577,1220081.4950078067,1251683.0276450873
M71T834_3_POS,71.49381977781647,71.49381568107792,71.49389187221156,834.404,834.283,835.192,4,4,230583.6350289068,275045.3983445306,324279.90730591153,287023.21987500007
M72T528_POS,71.69662743437378,71.69660697093693,71.69668610353136,528.126,527.289,528.164,3,3,240325.81127734313,NA,191331.3411010033,265056.27218889503
M72T818_POS,71.71471878213751,71.71468284717555,71.71475471709948,817.6175,816.699,818.536,2,2,130551.3929302742,232723.42361061653,NA,NA
M72T455_POS,71.99063815951504,71.99061502221329,71.99070134821966,455.48249999999996,454.614,455.596,4,4,16706171.07916105,15472111.883723965,14990661.388468793,15792218.353882214
M72T75_POS,72.08122543589386,72.08120131020857,72.0812352192971,74.5981,74.4617,74.6926,3,3,58847140.889045484,59804492.50121312,NA,64161175.691133335
M72T62_POS,72.08124565778346,72.08122358458681,72.08127991678754,62.0438,61.2216,62.0872,3,3,21459677.69030315,NA,57121133.60453575,41110054.68832125
M73T853_POS,72.80720473674484,72.8071876800238,72.80725098688971,853.4780000000001,853.415,853.512,4,4,489401.7436404101,512673.19958333205,513562.4325981451,494592.7592326325
M73T940_POS,72.93738536576363,72.93736318790924,72.93739225682273,940.2975,938.358,942.237,4,4,1566833.5024570217,1718469.971412681,1378787.8486165234,2469220.870406814
M73T71_POS,73.06523427169378,73.06521304927257,73.0652585425682,71.33305,70.7949,72.3463,4,4,19343348.625931926,24808562.854101364,21764814.916479066,21600093.76880469
M73T250_POS,73.06524378809232,73.06522940790666,73.0652488926865,249.702,248.498,249.81,3,3,86826429.29364064,26099677.362375043,47488837.065314844,NA
M73T98_POS,73.06524298418933,73.06522788544534,73.06524845310787,97.5788,96.771,107.055,3,3,55244278.26142877,32910511.31871373,60132926.67707961,NA
M73T751_POS,73.30202507358686,73.30201305457595,73.30207764321021,750.7484999999999,750.588,750.803,4,4,422842.12760254514,441672.35979752237,478969.2168749995,415156.27866861643
M73T901_POS,73.31112695443593,73.31112321997871,73.31116276768394,900.831,900.148,900.848,3,3,NA,98164.25948437648,93038.10627148264,85319.84176406427
M73T715_POS,73.47961157700543,73.4796028161071,73.47966661795374,715.225,714.565,715.344,3,3,795141.6306890732,885668.1023134824,682261.0714352588,NA
M74T61_1_POS,73.53215540340888,73.53213107237544,73.53223035679945,61.307199999999995,61.2216,61.3948,4,4,125656347.69561571,155480560.5252375,170485448.89700454,137882969.43250304
M74T936_POS,73.53205859297,73.53203022301304,73.53208316007361,935.9475,935.58,936.346,4,4,40839362.43370824,43010849.31925525,39511226.06617184,39975349.64444109
M74T61_2_POS,74.03256338164098,74.03253606301544,74.03267176474435,61.307199999999995,61.2216,61.3948,4,4,17395769.972425047,15277634.110537471,19663414.02156249,13565416.627312506
M74T104_POS,74.06046636549232,74.06044051726808,74.06047833314837,103.892,103.592,103.952,4,4,172962942.735114,203142345.95514238,176827088.16629994,187090609.42424613
M74T929_POS,74.09686309810996,74.09684808326423,74.0968781129557,929.2455,928.508,929.983,2,2,NA,63061888.24100011,NA,54971414.939728394
M75T936_POS,74.53083766954916,74.53082881327185,74.53090541258935,936.276,934.929,945.897,5,4,4734827.795801552,4618826.68285592,4932948.361930437,3980016.589863273
M75T61_POS,74.53097453049895,74.53094882688872,74.53102076856098,61.307199999999995,61.2216,61.3948,4,4,21408367.992387705,17997131.449780446,21585050.84144412,17204440.767262492
M75T126_POS,75.02668523167148,75.0266724327085,75.02671438300992,126.32,126.274,126.869,4,4,3132296.093644528,2683184.6148607982,3014724.837097359,3248151.2137416266
M75T72_POS,75.04441655230951,75.04440446925018,75.04442863536883,71.66975,71.6241,71.7154,2,2,NA,2498223.9423784073,3082534.307943136,NA
