variable_id,mz,rt,QC_01,QC_02,QC_03,QC_04
M70T937_POS,70.01289997824028,936.7065,35659223.602991074,31808784.839427903,30931984.623093866,33612142.50356624
M70T62_POS,70.01302697794843,61.65585,715552753.709138,763233319.5183998,959791635.6840726,735280637.51853
M70T1025_POS,70.01300275821983,1024.87,15159595.131250018,NA,20999789.68247559,8677385.542067308
M70T1067_POS,70.01300888524528,1067.08,6202561.932395807,NA,6683735.79545314,5311557.863281236
M70T1050_POS,70.01302204312587,1050.36,6146602.855520818,16935065.961387508,NA,9184703.432133617
M70T996_POS,70.01301970213277,995.593,12279093.146524038,7807389.515421163,NA,8447612.56831753
M70T70_POS,70.06558869483676,70.18825,15056329.2580125,18423166.66334065,17835693.653198957,17713062.4566375
M71T62_POS,70.51467056812369,61.65585,30785887.833212905,36365317.69398124,42525517.75125746,30753303.353887483
M71T922_POS,70.59876117385159,921.7675,135090.632318197,81471.08621630806,NA,NA
M71T797_1_POS,70.81135845690001,796.618,NA,1387254.4009634894,1153943.0343943841,1367212.8742773482
M71T797_2_POS,70.92284462061129,796.618,NA,270621.75339670014,277823.41991406516,391403.4024296876
M71T936_POS,70.9915270643434,936.309,1708894.7444661458,1834888.863779274,1310120.2097410627,NA
M71T834_1_POS,71.27089526119155,834.3575000000001,3824838.1295653507,4895510.011671907,4493684.795624986,4398959.207856419
M71T764_1_POS,71.27089810245995,763.917,3021767.0496844733,2605636.4355284004,3253923.7540802625,NA
M71T834_2_POS,71.3823736239174,834.3165,1383788.4698120214,1818287.0150308309,1678711.6915800693,1597555.9189023273
M71T764_2_POS,71.38241406706774,763.5815,1068384.6064187572,886773.8687937577,1220081.4950078067,1251683.0276450873
M71T834_3_POS,71.49381977781647,834.404,230583.6350289068,275045.3983445306,324279.90730591153,287023.21987500007
M72T528_POS,71.69662743437378,528.126,240325.81127734313,NA,191331.3411010033,265056.27218889503
M72T818_POS,71.71471878213751,817.6175,130551.3929302742,232723.42361061653,NA,NA
M72T455_POS,71.99063815951504,455.48249999999996,16706171.07916105,15472111.883723965,14990661.388468793,15792218.353882214
M72T75_POS,72.08122543589386,74.5981,58847140.889045484,59804492.50121312,NA,64161175.691133335
M72T62_POS,72.08124565778346,62.0438,21459677.69030315,NA,57121133.60453575,41110054.68832125
M73T853_POS,72.80720473674484,853.4780000000001,489401.7436404101,512673.19958333205,513562.4325981451,494592.7592326325
M73T940_POS,72.93738536576363,940.2975,1566833.5024570217,1718469.971412681,1378787.8486165234,2469220.870406814
M73T71_POS,73.06523427169378,71.33305,19343348.625931926,24808562.854101364,21764814.916479066,21600093.76880469
M73T250_POS,73.06524378809232,249.702,86826429.29364064,26099677.362375043,47488837.065314844,NA
M73T98_POS,73.06524298418933,97.5788,55244278.26142877,32910511.31871373,60132926.67707961,NA
M73T751_POS,73.30202507358686,750.7484999999999,422842.12760254514,441672.35979752237,478969.2168749995,415156.27866861643
M73T901_POS,73.31112695443593,900.831,NA,98164.25948437648,93038.10627148264,85319.84176406427
M73T715_POS,73.47961157700543,715.225,795141.6306890732,885668.1023134824,682261.0714352588,NA
M74T61_1_POS,73.53215540340888,61.307199999999995,125656347.69561571,155480560.5252375,170485448.89700454,137882969.43250304
M74T936_POS,73.53205859297,935.9475,40839362.43370824,43010849.31925525,39511226.06617184,39975349.64444109
