Sample_name	Cluster
MT_002	Cluster I
MT_003	Cluster I
MT_007	Cluster I
MT_028	Cluster I
MT_032	Cluster I
MT_041	Cluster I
MT_051	Cluster I
MT_056	Cluster I
MT_059	Cluster I
MT_060	Cluster I
MT_062	Cluster I
MT_063	Cluster I
MT_074	Cluster I
MT_078	Cluster I
MT_085	Cluster I
MT_088	Cluster I
MT_102	Cluster I
MT_103	Cluster I
MT_104	Cluster I
MT_108	Cluster I
MT_114	Cluster I
MT_119	Cluster I
MT_122	Cluster I
MT_123	Cluster I
MT_131	Cluster I
MT_132	Cluster I
MT_137	Cluster I
MT_138	Cluster I
MT_141	Cluster I
MT_142	Cluster I
MT_149	Cluster I
MT_151	Cluster I
MT_153	Cluster I
MT_162	Cluster I
MT_169	Cluster I
MT_174	Cluster I
MT_175	Cluster I
MT_184	Cluster I
MT_185	Cluster I
MT_191	Cluster I
MT_193	Cluster I
MT_023	Cluster II
MT_024	Cluster II
MT_049	Cluster II
MT_054	Cluster II
MT_095	Cluster II
MT_129	Cluster II
MT_179	Cluster II
MT_204	Cluster II
MT_001	Cluster III
MT_006	Cluster III
MT_017	Cluster III
MT_022	Cluster III
MT_027	Cluster III
MT_031	Cluster III
MT_045	Cluster III
MT_067	Cluster III
MT_079	Cluster III
MT_081	Cluster III
MT_086	Cluster III
MT_090	Cluster III
MT_091	Cluster III
MT_092	Cluster III
MT_096	Cluster III
MT_097	Cluster III
MT_099	Cluster III
MT_106	Cluster III
MT_107	Cluster III
MT_117	Cluster III
MT_125	Cluster III
MT_126	Cluster III
MT_128	Cluster III
MT_130	Cluster III
MT_133	Cluster III
MT_144	Cluster III
MT_160	Cluster III
MT_161	Cluster III
MT_164	Cluster III
MT_167	Cluster III
MT_170	Cluster III
MT_172	Cluster III
MT_173	Cluster III
MT_180	Cluster III
MT_181	Cluster III
MT_186	Cluster III
MT_189	Cluster III
MT_192	Cluster III
MT_203	Cluster III
MT_004	Cluster IV
MT_012	Cluster IV
MT_013	Cluster IV
MT_014	Cluster IV
MT_025	Cluster IV
MT_033	Cluster IV
MT_047	Cluster IV
MT_066	Cluster IV
MT_077	Cluster IV
MT_110	Cluster IV
MT_139	Cluster IV
MT_157	Cluster IV
MT_159	Cluster IV
MT_199	Cluster IV
MT_005	Cluster V
MT_015	Cluster V
MT_018	Cluster V
MT_029	Cluster V
MT_037	Cluster V
MT_038	Cluster V
MT_040	Cluster V
MT_042	Cluster V
MT_046	Cluster V
MT_053	Cluster V
MT_055	Cluster V
MT_061	Cluster V
MT_065	Cluster V
MT_076	Cluster V
MT_083	Cluster V
MT_084	Cluster V
MT_087	Cluster V
MT_089	Cluster V
MT_111	Cluster V
MT_112	Cluster V
MT_116	Cluster V
MT_118	Cluster V
MT_135	Cluster V
MT_140	Cluster V
MT_143	Cluster V
MT_145	Cluster V
MT_146	Cluster V
MT_147	Cluster V
MT_154	Cluster V
MT_165	Cluster V
MT_166	Cluster V
MT_168	Cluster V
MT_176	Cluster V
MT_177	Cluster V
MT_178	Cluster V
MT_182	Cluster V
MT_190	Cluster V
MT_194	Cluster V
MT_195	Cluster V
MT_196	Cluster V
MT_197	Cluster V
MT_201	Cluster V
MT_205	Cluster V
MT_008	Cluster VI
MT_009	Cluster VI
MT_010	Cluster VI
MT_011	Cluster VI
MT_016	Cluster VI
MT_019	Cluster VI
MT_020	Cluster VI
MT_021	Cluster VI
MT_026	Cluster VI
MT_030	Cluster VI
MT_034	Cluster VI
MT_035	Cluster VI
MT_036	Cluster VI
MT_039	Cluster VI
MT_043	Cluster VI
MT_044	Cluster VI
MT_048	Cluster VI
MT_050	Cluster VI
MT_052	Cluster VI
MT_057	Cluster VI
MT_064	Cluster VI
MT_068	Cluster VI
MT_069	Cluster VI
MT_070	Cluster VI
MT_072	Cluster VI
MT_073	Cluster VI
MT_075	Cluster VI
MT_080	Cluster VI
MT_082	Cluster VI
MT_093	Cluster VI
MT_094	Cluster VI
MT_098	Cluster VI
MT_100	Cluster VI
MT_101	Cluster VI
MT_105	Cluster VI
MT_109	Cluster VI
MT_113	Cluster VI
MT_115	Cluster VI
MT_120	Cluster VI
MT_121	Cluster VI
MT_124	Cluster VI
MT_127	Cluster VI
MT_134	Cluster VI
MT_136	Cluster VI
MT_148	Cluster VI
MT_150	Cluster VI
MT_155	Cluster VI
MT_156	Cluster VI
MT_158	Cluster VI
MT_163	Cluster VI
MT_171	Cluster VI
MT_183	Cluster VI
MT_187	Cluster VI
MT_188	Cluster VI
MT_198	Cluster VI
MT_200	Cluster VI
MT_202	Cluster VI
MT_206	Cluster VI
MT_058	OutGroup
MT_071	OutGroup
MT_152	OutGroup
WT_001	OutGroup
WT_002	OutGroup
WT_003	OutGroup
WT_004	OutGroup
WT_005	OutGroup
WT_006	OutGroup
WT_007	OutGroup
