variable_id,mz,rt,QC_001,QC_002,QC_003,QC_004,QC_005,QC_006,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,QC_008,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020,MT_021,QC_009,MT_022,MT_023,MT_024,MT_025,MT_026,MT_027,QC_010,WT_001,MT_028,MT_029,MT_030,MT_031,MT_032,MT_033,MT_034,QC_011,WT_002,MT_035,MT_036,MT_037,MT_038,MT_039,MT_040,MT_041,MT_042,MT_043,MT_044,MT_045,QC_012,MT_046,MT_047,MT_048,MT_049,MT_050,MT_051,MT_052,MT_053,MT_054,MT_055,QC_013,MT_056,MT_057,MT_058,MT_059,MT_060,MT_061,MT_062,MT_063,MT_064,QC_014,MT_065,MT_066,MT_067,MT_068,MT_069,MT_070,MT_071,MT_072,QC_015,MT_073,MT_074,MT_075,MT_076,MT_077,MT_078,MT_079,MT_080,MT_081,MT_082,QC_016,MT_083,MT_084,MT_085,MT_086,MT_087,MT_088,MT_089,MT_090,MT_091,MT_092,MT_093,MT_094,MT_095,QC_017,MT_096,MT_097,MT_098,MT_099,MT_100,MT_101,MT_102,MT_103,MT_104,MT_105,MT_106,QC_018,MT_107,MT_108,MT_109,MT_110,MT_111,MT_112,MT_113,QC_019,MT_114,MT_115,MT_116,MT_117,MT_118,MT_119,MT_120,MT_121,QC_020,MT_122,MT_123,MT_124,MT_125,MT_126,WT_003,MT_127,MT_128,MT_129,MT_130,QC_021,MT_131,MT_132,MT_133,MT_134,MT_135,MT_136,MT_137,MT_139,MT_140,QC_022,MT_141,MT_142,MT_138,MT_143,MT_144,MT_145,MT_146,QC_023,MT_147,MT_148,MT_149,MT_150,MT_151,MT_152,MT_153,QC_024,WT_004,MT_154,MT_155,MT_156,MT_157,MT_158,MT_159,MT_160,MT_161,MT_162,MT_163,QC_025,MT_164,MT_165,MT_166,WT_005,MT_167,MT_168,MT_169,MT_170,MT_171,MT_172,MT_173,MT_174,QC_026,MT_175,MT_176,MT_177,MT_178,WT_006,MT_179,MT_180,MT_181,MT_182,MT_183,MT_184,MT_185,QC_027,MT_186,MT_187,MT_188,MT_189,MT_190,MT_191,QC_028,MT_192,MT_193,MT_194,MT_195,MT_196,MT_197,MT_198,MT_199,QC_029,WT_007,MT_200,MT_201,MT_202,MT_203,MT_204,MT_205,MT_206,QC_030
Met_neg_04,401.0876465,10.91194656,769520,786655,824463,791910,767761,755443,278637,268286,322004,180191,260926,299234,219485,243346,275338,369748,271821,302643,773287,332690,270138,331810,302256,251350,260225,195396,258243,254965,763796,307259,220940,261600,205270,290394,228094,755498,234368,213288,174218,278233,252158,178256,227548,240316,714140,118136,470314,241989,219832,141767,250653,298026,212440,283413,286786,222381,225011,755971,403651,264114,192565,155697,128439,174427,153801,182698,232072,201816,731354,119390,208510,196272,249711,153713,145290,190802,178802,131436,621961,131427,225279,145411,188099,160212,180214,149472,211650,687988,158811,115622,127580,114470,128846,132500,125544,159623,143534,135960,648998,159082,169144,218495,191457,177785,193967,170434,241309,168279,297990,170433,281035,175405,617850,168260,172643,182419,207972,219951,179600,219953,147052,358481,331497,170740,719088,312895,158743,206280,226585,239939,109198,195064,675176,157370,217365,172906,217596,288856,123687,159438,140946,694643,168010,134835,208622,221619,251751,153751,203168,163786,192030,193393,662946,233396,105974,174945,132716,161498,145124,118444,126970,140863,689779,138777,167983,137621,176257,187872,217448,177501,699499,232087,279020,197942,202311,160548,202076,219035,699777,208190,256842,206201,163385,189161,240882,234243,204718,205011,179834,167211,679530,132593,177756,163396,267933,160303,202875,351303,245725,269964,170639,178709,191139,715814,232351,199980,242786,250729,215315,213540,250668,195972,165023,188467,134261,140114,748176,157302,172992,183851,245849,131099,142159,794459,160243,227802,130266,162213,211544,151967,179427,159290,787562,247297,194278,143425,197092,167981,115907,128553,122923,815744
Met_neg_05,514.3243408,6.334131118,108054,93852,90883,99261,81875,89187,32964,28272,24043,13697,31611,24836,25039,27738,36142,33330,27047,32723,79916,35738,32836,32195,26490,27320,20846,16947,24642,35757,58973,24884,19185,24071,17235,23035,30443,65126,15472,25227,16888,27028,30397,26173,16099,27895,57314,13564,26350,19712,18275,19339,25205,24980,20686,21301,25172,27054,17948,60819,32832,23757,13108,11006,10977,16799,9695,16058,22760,17720,54716,9138,14624,18671,20386,12146,6180,13264,7926,18302,60168,7424,17861,7700,12256,16702,13215,16006,10570,56879,9431,7661,12826,6842,7510,17203,16588,15697,7103,11087,45615,14884,14188,24353,18761,13811,12605,13864,21567,16771,14645,16676,13390,17655,51490,12349,16860,11544,16007,14376,12311,17259,13712,16987,20200,12077,47508,21797,12674,15709,22647,16571,6479,11340,61039,12444,17345,10221,15838,18468,9855,11124,9651,53521,16799,11791,20188,22706,19939,9339,12773,22331,13692,16088,53822,15054,11365,16312,10553,13763,8464,9432,10542,11615,49693,11638,13830,6048,9572,13831,19186,20128,47913,26807,20680,12113,13182,9901,20103,23401,55028,10776,18353,9312,12636,10020,11911,22922,10954,7564,11051,13193,52731,11813,7050,14247,13512,9684,12026,22410,11299,17040,13581,15258,14026,59323,17126,17243,16284,23019,13962,19588,12166,12156,10376,8957,8281,8619,64778,11767,10623,12406,17776,10593,7963,60288,14423,10617,13822,14372,18832,16813,21653,20666,69254,20020,11414,11040,10420,10090,10837,8155,7165,61065
Met_neg_06,357.0613403,11.58423676,315660,339345,327178,333217,304373,336047,165414,105550,99357,64923,95915,152123,104310,166340,119555,225366,176427,142394,325080,195677,108626,129722,109703,88133,122925,73391,102045,82104,324921,122235,74360,78542,75463,172284,98354,294127,86381,70119,55201,153837,106598,62686,69737,92469,307499,38738,154892,107922,67505,52179,76394,100999,79598,105768,118633,104804,82335,297213,165105,88851,53589,46889,42090,55467,43619,61320,87525,60672,298746,47049,61341,67963,91653,56563,64329,106719,76778,46705,252580,38633,74264,40909,46625,56999,55945,50024,68237,264806,63918,37101,53782,59088,37213,44492,39949,69620,41965,45751,236217,50630,72252,58699,66900,78813,60027,91269,98812,86671,93402,66092,100129,55960,259628,60132,61855,62033,71613,74790,72269,63323,76932,128570,153808,55129,274871,98763,53935,61251,57394,69655,33495,68398,276606,47888,74839,47696,72904,73929,51329,53606,55158,281619,103640,47311,59005,68279,93516,70434,60744,65503,77710,71132,270737,74811,73925,94792,42251,78475,46398,43896,45596,52308,262876,60576,65660,83486,61164,90096,82617,59144,261223,89664,127125,79634,71060,88022,73638,118144,279399,82777,88777,64160,67551,68626,89504,80147,72513,77043,69643,60954,273087,48682,56725,50198,83697,52201,72777,106287,92197,90381,56867,75103,61650,284131,60896,83380,90181,89357,68488,89560,73551,76788,82344,58607,54434,53989,336741,58711,86522,100122,96986,70912,66771,338502,57877,72520,78345,68410,90353,86696,71777,67766,333707,81641,75395,70401,61897,73640,53079,58936,43698,371315
Met_neg_10,695.5075684,6.01435449,3681,3056,8917,5528,1986,3298,1781,271,166,215,1686,1336,86,NA,1227,163,662,178,8440,949,936,611,1191,382,NA,582,NA,1752,3543,2404,488,NA,1226,311,1490,5549,178,621,163,690,29,986,600,46,3446,295,1260,402,747,NA,745,399,1154,NA,20,547,831,3162,2032,2929,986,328,1663,1460,895,1435,1101,413,4748,NA,865,NA,506,1645,765,NA,829,NA,3692,960,293,482,270,836,397,294,2183,1804,NA,33,775,NA,NA,285,688,1095,327,309,862,NA,349,1398,613,NA,473,321,611,223,1629,937,515,647,6917,1710,2070,1352,887,843,611,411,547,1584,1259,567,4155,817,1622,47,1405,NA,386,1137,3336,NA,1396,NA,1396,NA,NA,480,NA,1994,531,1297,325,212,99,240,707,1005,598,NA,3209,43,223,NA,NA,NA,NA,NA,NA,NA,5601,NA,1452,NA,608,221,1045,291,4871,170,464,312,88,NA,218,1131,3558,354,95,NA,50,68,102,1524,NA,304,1265,76,1575,918,534,46,1263,457,178,NA,210,599,NA,75,NA,993,84,NA,232,NA,469,249,NA,384,1518,NA,253,NA,2009,NA,NA,274,928,NA,NA,3820,420,385,NA,NA,NA,203,979,472,2350,989,1298,448,1024,NA,NA,118,713,5310
Met_neg_100,565.286438,9.888676273,18809,1520,12372,14013,15046,2189,2676,402,371,110,185,689,5056,1899,437,1126,5898,81,21632,4317,1971,1431,1274,611,2929,2427,4570,319,18203,3358,344,1990,3736,5123,3639,17526,2109,159,638,5568,50,2569,6650,199,7717,140,77,125,765,2076,91,5806,1474,578,1153,1365,3989,11790,6524,2030,18,107,1472,210,423,1640,1630,2018,9253,3452,509,2477,84,475,1407,557,98,1704,8209,48,70,2419,416,NA,55,1512,288,153,1214,1187,133,556,3314,435,1622,719,277,2519,356,958,195,22,435,35,552,4383,1355,794,315,2140,2970,57,350,709,1042,2810,432,3983,1961,152,1683,220,283,4464,10777,141,1743,888,437,5505,371,2851,8788,63,4000,55,68,81,1125,558,3743,6378,3084,646,1570,197,622,201,926,1577,695,3142,5851,852,106,759,3588,117,7383,850,354,3409,8597,167,2045,609,172,4437,2144,5321,6051,1509,4022,849,523,253,744,11678,8106,1031,2693,199,913,1271,3304,2551,315,3090,248,170,273,131,1741,2293,2971,82,1925,1231,770,80,166,526,63,13574,331,360,3479,2089,1581,316,623,635,296,280,973,154,14984,1332,2275,225,3208,2546,1862,12903,5995,2138,5340,3843,359,1076,2221,1021,21562,3962,420,713,194,279,746,155,1247,14988
Met_neg_1001,465.0708313,5.447637048,54,2282,2286,2276,705,1675,766,129,191,413,248,542,1335,73,162,1018,251,265,1519,1098,134,444,451,566,1189,171,1252,NA,120,1527,372,134,NA,698,90,26,NA,212,232,370,21,135,839,215,1121,140,443,NA,NA,500,801,342,351,597,141,779,251,2168,174,176,839,NA,NA,295,869,232,412,311,1883,211,300,NA,NA,541,94,20,76,NA,2023,35,NA,243,NA,NA,NA,286,1205,616,NA,663,294,122,NA,NA,NA,204,NA,183,514,132,NA,705,152,192,NA,178,133,757,1632,NA,NA,433,852,NA,NA,NA,340,158,496,452,26,204,194,NA,1456,602,433,1394,NA,NA,711,70,1674,NA,372,NA,275,NA,NA,NA,NA,1321,459,NA,852,244,219,NA,856,NA,99,232,1941,NA,NA,NA,157,NA,NA,36,NA,NA,1440,NA,NA,NA,319,64,48,407,856,541,745,482,NA,112,298,668,1393,NA,NA,128,NA,39,114,NA,NA,NA,639,156,155,NA,NA,148,NA,NA,83,431,NA,NA,245,NA,NA,1120,125,80,113,NA,49,1213,34,32,NA,NA,1706,428,3108,1010,49,387,NA,NA,NA,3371,NA,831,NA,229,NA,272,898,187,80,NA,NA,269,779,433,NA,110,148,2233
Met_neg_1004,337.1506042,5.681220701,6693,2261,5543,4820,4722,2857,1192,1159,972,218,5249,24,1134,NA,754,2055,1511,1288,3072,940,1343,1760,1206,1433,3565,675,1823,1483,4506,282,1409,1427,1442,903,625,4145,1221,779,1915,1462,147,791,1613,824,4108,1058,703,476,2215,NA,110,196,130,1074,511,2306,323,3561,1849,1662,2054,850,486,NA,NA,600,1352,908,5194,233,2744,2269,1717,NA,1644,350,1782,1561,4765,238,189,331,292,832,672,807,648,4596,744,1193,241,193,654,842,1070,174,252,161,3771,308,1345,1439,1571,NA,1285,211,406,NA,NA,1805,3108,132,5272,1678,775,689,514,1551,875,NA,1211,462,502,372,3361,NA,1260,535,346,332,NA,678,5458,374,1188,68,NA,768,709,21,NA,4174,NA,650,121,816,1140,3267,NA,449,158,40,1806,932,1099,366,185,259,50,476,286,767,2740,590,51,416,967,870,701,1603,3333,727,1206,955,635,1441,180,3325,3699,889,992,701,1681,220,828,1565,578,202,161,1525,3305,575,426,954,1564,1950,NA,119,641,975,81,NA,789,2692,2549,180,1277,850,738,240,1597,413,NA,720,898,946,2691,2237,431,1381,3385,NA,449,4802,1083,960,NA,1521,1720,NA,912,716,7343,172,154,1504,808,1758,2033,1368,953,2195
Met_neg_1007,819.4528809,16.87955625,485777,432230,402454,403465,355221,NA,NA,75505,109465,88518,107260,115355,96258,103722,NA,NA,NA,NA,NA,NA,109478,NA,NA,130645,NA,NA,92372,NA,330841,65359,116931,NA,119121,114849,NA,307202,71796,68133,66429,NA,NA,NA,129542,NA,333173,79081,48729,74485,124608,NA,110731,98753,NA,133378,133630,NA,118750,NA,820,NA,96089,49086,69906,NA,35358,NA,NA,NA,318003,NA,107484,NA,NA,NA,NA,NA,NA,NA,288246,NA,NA,NA,61573,62858,NA,NA,NA,262978,NA,NA,NA,102196,NA,90659,113198,126350,NA,NA,NA,117087,49956,NA,NA,160987,142129,75452,70709,63937,148854,99549,100993,68836,270616,NA,NA,151082,118353,123390,100632,122024,118067,123466,NA,NA,319714,115896,NA,105419,86578,21137,70972,72318,296027,108599,77706,108630,299480,74894,103327,129876,122298,280379,81388,62735,NA,90052,223492,65115,NA,65223,NA,53484,301882,NA,NA,113855,77982,NA,NA,96957,111114,NA,NA,48619,NA,NA,91369,NA,NA,70318,257881,46308,NA,51370,52386,53754,142586,NA,239325,46506,37782,58009,NA,42319,NA,NA,59622,49776,NA,NA,237923,NA,59308,NA,44204,61609,46959,51570,47589,73929,52795,NA,NA,230375,NA,37665,48280,60799,52366,59750,NA,NA,65864,98135,NA,93474,329265,61861,74641,128559,42359,42118,49927,272695,NA,NA,NA,76116,NA,NA,NA,31792,NA,42804,68368,NA,52377,NA,NA,NA,67252,271225
Met_neg_1009,737.4111938,17.55525703,7073,4141,266979,9429,252511,13813,19405,11957,11409,1214,19023,1740,46513,131833,106989,4384,11963,29427,246935,851,45905,1799,874,46166,7913,423,1227,10664,205797,1399,46743,1757,21833,32629,34135,2838,32043,27993,30637,13411,129226,1137,36465,11396,2579,44804,7989,971,34896,51609,40352,28601,708,1000,10316,3314,4023,209279,985,613,1077,1774,82845,28026,226884,97189,97759,102457,193557,106091,8044,33675,1115,1416,1783,52573,2386,28095,2485,26845,35049,1726,9101,1628,79992,32161,26044,5560,3136,51949,2094,59018,2551,1215,1746,40745,87854,3038,202269,39841,1667,6642,1140,83031,24941,12245,666,1122,624,19804,2057,33775,3825,69608,1085,545,1290,440,7597,29409,1100,2162,357,793,216293,9814,20689,8167,11121,139,406,5823,3011,43168,537,2049,2044,50008,34681,7742,1661,3423,14046,17938,1160,38910,316,43126,777,1352,1571,29129,3708,4264,15492,1995,893,38556,787,17059,146,5227,246791,28439,35877,35413,553,6682,1987,22481,4050,934,334,85627,51356,61116,839,2864,3490,38131,101,31,28645,126633,907,77472,856,37696,25274,46759,171849,1320,22286,31286,593,1772,383,44429,1040,495,768,2031,1416,5351,900,23663,34408,1933,23260,28358,50485,1499,37002,388,2121,29689,5399,1274,406,1490,745,422,12978,6019,31017,1132,784,1053,45149,1628,2913,61558,171615,709,2610,32,414,373,121,854,653,4481
Met_neg_1010,514.1724243,8.924975406,1033,530,1026,8537,783,632,1089,183,2279,252,47,991,41,148,353,172,322,1016,113,242,232,484,145,800,282,2748,NA,485,8160,NA,4508,5235,4107,7303,370,677,397,2597,NA,200,157,290,252,1048,458,NA,201,60,NA,NA,NA,NA,NA,NA,NA,939,NA,80,175,4598,NA,NA,NA,81,NA,NA,1500,NA,601,35,1610,44,2781,6520,5365,4988,3754,2609,3733,350,1442,NA,NA,89,603,1756,1214,6374,818,105,NA,63,NA,NA,283,NA,24,487,97,1061,408,750,2197,1522,NA,NA,48,NA,NA,NA,NA,NA,191,NA,NA,NA,360,57,NA,NA,158,1073,235,2087,8310,NA,NA,NA,NA,74,NA,NA,4032,NA,NA,NA,4492,1836,NA,163,989,1492,NA,NA,NA,242,1097,NA,NA,900,125,1818,5386,2942,5331,506,97,667,NA,NA,NA,NA,370,1592,NA,2807,1015,NA,NA,908,5661,NA,NA,3784,149,620,1959,803,2241,748,878,1050,532,4612,834,112,262,625,2461,536,6570,NA,2122,240,726,364,450,202,NA,NA,NA,NA,NA,3702,375,427,NA,NA,577,2301,457,501,454,2018,1262,800,141,905,233,1449,669,NA,NA,785,103,NA,NA,NA,NA,1969,270,813,100,NA,NA,371,824,1870,1888,NA,228,8270
